omop_cdm_code,"icd9_code","snomed_ct_code"
436375,"276.5","28560003"
436659,"280.9","87522002"
436953,"303.91","191811004"
437186,"991.6","212916004"
437187,"E968.2","219235009"
437247,"285.21","234347009"
437881,"380.14","94146005"
437891,"416.0","26174007"
439221,"E934.2","45376003"
440009,"996.73","19220005"
440276,"996.62","31871009"
440276,"996.66","31871009"
440693,"304.71","191819002"
441534,"296.23","76441001"
443452,"459.0","413245000"
444239,"V45.89","128926000"
444243,"300.9","111475002"
444246,"571.5","111370006"
444391,"379.91","86260003"
4029488,"572.2","13920009"
4176874,"521.0","49321003"
75095,"824.8","42188001"
432876,"296.7","371596008"
435783,"295.90","58214004"
436944,"295.32","31658008"
438727,"296.82","191659001"
440279,"E849.9","55566008"
441194,"E927","218218000"
443414,"309.81","313182004"
78619,"924.11","22878006"
134442,"710.1","89155008"
255304,"517.2","196133001"
317002,"458.9","45007003"
4057825,"564.0","197123003"
77630,"719.91","118944007"
433533,"634.91","198653008"
440454,"637.90","51830007"
74892,"274.0","48440001"
77642,"719.43","267951001"
192731,"787.99","308925008"
375545,"366.8","193570009"
378253,"784.0","25064002"
4138253,"579.9","32230006"
441542,"300.00","48694002"
4194895,"V82.9","312851005"
4060318,"786.5","161978005"
4034214,"872.8","11386000"
138525,"729.5","90834002"
194992,"579.0","396331005"
200962,"185","93974005"
435928,"783.21","267024001"
434084,"616.4","69430001"
255841,"491.9","63480004"
320136,"519.9","50043002"
198700,"197.7","94381002"
258375,"162.8","109371002"
318566,"782.62","238810007"
433390,"E933.1","292255000"
442139,"162.9","93734005"
4094410,"199","188482002"
4157333,"162.2","372065009"
80809,"714.0","69896004"
134619,"242.30","57777000"
142026,"996.72","271966006"
200445,"601.1","19905009"
253790,"482.0","64479007"
255573,"496","13645005"
257004,"491.21","195951007"
312327,"410.81","57054005"
313878,"786.09","161920001"
315558,"440.20","51274000"
316429,"427.60","29717002"
317576,"414.0","53741008"
318772,"423.9","55855009"
433656,"E879.0","102476007"
438447,"410.21","65547006"
4142479,"242.9","34486009"
4185302,"414.9","413844008"
79833,"386.00","13445001"
196569,"922.2","37907001"
317893,"427.0","67198005"
373503,"435.9","266257000"
374060,"436","288723005"
374888,"294.10","191519005"
378419,"331.0","26929004"
381859,"380.10","86981007"
440279,"E928.8","55566008"
4249549,"V07.0","409582008"
26662,"257.2","111551000"
80502,"733.00","64859006"
80571,"892.1","210714003"
437828,"275.49","71638002"
139099,"703.0","400097005"
72469,"831.00","22911007"
442256,"726.10","55833001"
198978,"098.0","54825009"
318445,"429.4","195130005"
442019,"E879.8","116224001"
80189,"722.10","20021007"
75897,"716.50","36186002"
321318,"413.9","194828000"
381591,"437.9","62914000"
432867,"272.4","55822004"
442615,"433.10","64586002"
442615,"433.11","64586002"
4175226,"V76.51","275978004"
316999,"426.9","44808001"
319826,"405.99","31992008"
435642,"784.5","29164008"
4107655,"V62.89","284465006"
73290,"718.40","7890003"
73553,"716.90","399269003"
79898,"681.00","200630006"
81151,"845.00","44465007"
133551,"705.81","402567004"
134671,"522.5","196339009"
192278,"250.02","190392008"
197913,"536.8","386211005"
198194,"625.9","198401009"
256451,"490","32398004"
312327,"410.90","57054005"
375557,"434.1","75543006"
375671,"850.5","62564004"
378140,"357.9","267601009"
432284,"296.20","268620009"
432795,"959.9","417163006"
434056,"438","195239002"
436253,"845.10","49388007"
438878,"794.8","166603001"
439926,"780.7","271795006"
437579,"427.1","66657009"
374366,"389.10","60700002"
138339,"038.1","111821004"
376713,"431","274100004"
438064,"041.7","63398001"
4329847,"410.9","22298006"
75614,"696.1","200976008"
201257,"256.8","37102008"
443728,"786.6","441124000"
193322,"789.03","301754002"
197988,"789.07","102614006"
434494,"812.00","42636007"
436096,"338.3","82423001"
437175,"E885.9","217154006"
438021,"905.2","23123006"
440853,"812.01","73244003"
442073,"733.81","203497002"
381270,"332.0","49049000"
440012,"E884.2","217142006"
133150,"173.7","188127001"
136917,"173.3","94022001"
138825,"702.0","201101007"
140641,"078.10","57019003"
40483107,"702.11","442348004"
80225,"846.0","40129004"
132466,"847.2","209565008"
200483,"789.9","118943001"
432517,"958.3","111726004"
31821,"259.9","362969004"
74132,"722.52","60937000"
75426,"944.00","14893008"
75863,"595.1","197834003"
77673,"788.99","42063007"
78219,"682.4","267780000"
79936,"788.42","28442001"
80180,"715.98","396275006"
133835,"692.4","43116000"
134116,"693.0","81119003"
135526,"336.9","48522003"
136184,"698.9","279333002"
136788,"724.02","18347007"
137379,"781.99","84869007"
139900,"708.9","126485001"
140190,"724.9","33308003"
192286,"271.3","22169002"
192450,"788.29","267064002"
192667,"535.10","84568007"
193020,"788.21","249288007"
193326,"788.31","87557004"
194411,"550.90","266441003"
194986,"533.21","28945005"
194993,"579.8","197476001"
196735,"590.10","197768004"
197381,"789.06","79922009"
197672,"788.39","165232002"
197684,"788.1","49650001"
197911,"553.20","414399004"
198199,"590.80","45816000"
198263,"789.01","301717006"
198464,"553.21","236037000"
200219,"789.09","21522001"
200450,"599.9","4985009"
200843,"788.41","300471006"
200845,"788.63","75088002"
201131,"789.36","74285003"
201620,"592.0","95570007"
201995,"924.4","111723007"
253321,"786.1","70407001"
256531,"784.2","274755005"
257315,"482.9","53084003"
318736,"346.90","37796009"
372309,"355.9","32595002"
373852,"729.2","16269008"
376382,"307.81","398057008"
377575,"388.30","60862001"
379806,"346.20","193030005"
381864,"388.31","62452009"
432730,"784.49","47004009"
432791,"995.1","41291007"
433440,"300.4","78667006"
433516,"535.60","72007001"
434613,"300.02","21897009"
435521,"306.9","37057007"
436076,"309.4","66381006"
436078,"263.0","77091003"
436096,"338.29","82423001"
437038,"599.70","34436003"
437470,"E939.4","292343009"
437478,"E906.4","217706007"
437741,"E924.1","218147003"
438398,"288.60","111583006"
439221,"995.2","45376003"
439221,"E943.0","45376003"
440288,"E849.4","57701003"
440704,"338.4","373621006"
441206,"E935.7","292040004"
442601,"305.40","64386003"
442752,"729.1","68962001"
443597,"585.3","433144002"
443869,"913.4","13904004"
444100,"296.90","46206005"
444382,"724.4","2169001"
